epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,928.198,1.42397,1.65045,1.33304,0.55396,0.45062,0.45717,0.26293,1.70666,1.97139,1.60972,0.0005348,0.0005348,0.0005348
57,947.565,1.4167,1.59469,1.31215,0.57533,0.46163,0.45848,0.25959,1.71508,2.00613,1.60673,0.00050816,0.00050816,0.00050816
58,963.655,1.4509,1.69127,1.33029,0.552,0.46296,0.46013,0.25368,1.70606,1.98181,1.59077,0.00048152,0.00048152,0.00048152
59,979.423,1.42342,1.59175,1.31775,0.55568,0.43951,0.43719,0.24613,1.69025,2.00769,1.59841,0.00045488,0.00045488,0.00045488
60,994.717,1.39551,1.59568,1.30229,0.51971,0.48225,0.44564,0.25113,1.67347,2.0055,1.5954,0.00042824,0.00042824,0.00042824
61,1010.53,1.34968,1.57394,1.26823,0.54876,0.46842,0.44726,0.25905,1.68243,2.00469,1.58027,0.0004016,0.0004016,0.0004016
62,1025.88,1.4277,1.62485,1.32026,0.54142,0.47284,0.43966,0.25088,1.70329,2.01139,1.60907,0.00037496,0.00037496,0.00037496
63,1041.82,1.35957,1.58412,1.29737,0.50895,0.48025,0.43754,0.24915,1.67322,1.98879,1.58495,0.00034832,0.00034832,0.00034832
64,1057.81,1.38046,1.56182,1.30101,0.49318,0.49259,0.43719,0.24908,1.71603,2.02723,1.61321,0.00032168,0.00032168,0.00032168
65,1074.4,1.35573,1.52948,1.26871,0.5597,0.44255,0.45753,0.25225,1.7101,1.98573,1.60494,0.00029504,0.00029504,0.00029504
66,1091.81,1.32505,1.60006,1.27955,0.50877,0.46927,0.4318,0.24948,1.70809,2.07305,1.63315,0.0002684,0.0002684,0.0002684
67,1111.16,1.3003,1.52074,1.29905,0.52463,0.4963,0.44665,0.25101,1.69412,1.96613,1.6154,0.00024176,0.00024176,0.00024176
68,1127.35,1.31908,1.5353,1.28037,0.54789,0.4642,0.45334,0.26153,1.67876,1.9676,1.60102,0.00021512,0.00021512,0.00021512
69,1143.23,1.29345,1.44766,1.28084,0.52563,0.49012,0.45976,0.26015,1.67488,1.97718,1.59224,0.00018848,0.00018848,0.00018848
70,1159.14,1.2836,1.49442,1.26037,0.56149,0.47581,0.4582,0.25831,1.68429,1.99006,1.61424,0.00016184,0.00016184,0.00016184
71,1175.16,1.27486,1.43036,1.27683,0.5458,0.49259,0.462,0.25883,1.69537,1.97286,1.61391,0.0001352,0.0001352,0.0001352
72,1190.74,1.25224,1.40918,1.25579,0.55455,0.48642,0.46536,0.25971,1.69417,1.96995,1.62193,0.00010856,0.00010856,0.00010856
73,1205.88,1.26336,1.42904,1.25823,0.54106,0.50494,0.4718,0.26679,1.6841,1.96646,1.60826,8.192e-05,8.192e-05,8.192e-05
74,1221.5,1.27514,1.41669,1.25013,0.5596,0.48519,0.46611,0.267,1.68397,1.96313,1.61105,5.528e-05,5.528e-05,5.528e-05
75,1237.18,1.26036,1.43055,1.26027,0.5517,0.48272,0.4646,0.26408,1.69374,1.96927,1.61629,2.864e-05,2.864e-05,2.864e-05
